WKT,Name,Beschreibung
"POINT (16.4033282 48.2198799)",Gruppe Janiboy,
"POINT (16.3719775 48.2043741)",Gruppe 19,
"POINT (16.3681384 48.2141848)",Gruppe 16B ,
"POINT (16.365452 48.2134418)",Gruppe 16M,
"POINT (16.3786272 48.2193556)",Gruppe 51,
"POINT (16.3915442 48.1945207)",Gruppe 6 & 7,
"POINT (16.3931823 48.2109353)",Gruppe 9,
"POINT (16.3989498 48.19946049999999)",Gruppe 13,
"POINT (16.3726471 48.1981753)",Gruppe 2,
"POINT (16.364399 48.1890849)",Gruppe 34,
"POINT (16.3722561 48.1978623)",Gruppe 41,
"POINT (16.3533402 48.1990497)",Gruppe 17/47,
"POINT (16.347817 48.19045810000001)",Gruppe 37,
"POINT (16.3524574 48.2041011)",Gruppe 18 ,
"POINT (16.3414223 48.2134747)",Gruppe 20 ,
"POINT (16.3501436 48.2108655)",Gruppe 23,
"POINT (16.3635176 48.2202458)",Gruppe 21,
"POINT (16.3774529 48.1702106)",Gruppe 1,
"POINT (16.413394 48.176798)",Gruppe 3 ,
"POINT (16.3613784 48.175888)",Gruppe 5 ,
"POINT (16.3604255 48.1575829)",Gruppe 66,
"POINT (16.473651 48.1573711)",Gruppe 73,
"POINT (16.3214288 48.16257419999999)",Gruppe 10/48 ,
"POINT (16.3261197 48.18024399999999)",Gruppe 45b,
"POINT (16.32011 48.17616049999999)",Gruppe 80,
"POINT (16.2661268 48.1878575)",Gruppe 39,
"POINT (16.2613399 48.1632162)",Gruppe 60,
"POINT (16.422146 48.16719249999999)",Gruppe 71,
"POINT (16.307103 48.2018467)",Gruppe 19,
"POINT (16.3004998 48.1924264)",Gruppe 38,
"POINT (16.3305079 48.20440869999999)",Gruppe 78,
"POINT (16.4031149 48.1760789)",Gruppe Röder,
"POINT (16.3181982 48.2156318)",Gruppe 56/113,
"POINT (16.299479 48.22987699999999)",Gruppe 29,
"POINT (16.3413085 48.225079)",Gruppe 11,
"POINT (16.4049255 48.2065679)",Gruppe 21,Woopsie
"POINT (16.3465574 48.2265906)",Gruppe 26,
"POINT (125.7618872 39.0348219)",Gruppe 85,Russel
"POINT (16.3356001 48.24307049999999)",Gruppe 58,
"POINT (16.32099269999999 48.2438361)",Gruppe 81,
"POINT (16.3575569 48.2513537)",Gruppe 83,
"POINT (16.3739439 48.2450047)",Gruppe 52,
"POINT (16.3920439 48.2634163)",Gruppe 8,
"POINT (16.4108739 48.3025433)",Gruppe 64 
,
"POINT (16.4158365 48.2916427)",Gruppe 87,
"POINT (16.406841 48.2513965)",Gruppe 91,
"POINT (16.4974989 48.2515093)",Gruppe 14,
"POINT (16.4436288 48.2497474)",Gruppe 28,
"POINT (16.452704 48.2231082)",Gruppe 31,
"POINT (16.378034 48.1751401)",€2.50 Döner und Pepsi/Ayran,Wildes Angebot
"POINT (16.450812 48.2388664)",Gruppe 36,
"POINT (16.4813466 48.2382157)",Gruppe 44,
"POINT (16.4236714 48.2267822)",Gruppe 46,
"POINT (16.4311575 48.2479828)",Gruppe 88 - Vienna International Scout Group

,
"POINT (16.473867 48.21496339999999)",Gruppe 22,
"POINT (16.310963 48.15274499999999)",Gruppe 32,
"POINT (16.2967426 48.148339)",Gruppe 55,
"POINT (16.2534098 48.1476361)",Gruppe 57 ,
"POINT (16.3906641 48.20164459999999)",Gruppe 42,
"POINT (16.3769254 48.1558663)",Gruppe 12 ,
"POINT (16.3356569 48.2072517)",Gruppe 68/103 und Pfadfinderfanfare
,
"POINT (16.255819 48.2000558)",Gruppe 45,
"LINESTRING (16.236806 48.612057, 16.3534875 48.4104101, 16.4052663 48.3999501, 16.430082 48.3955118)",Linie 63,
