Gruppennummer	Name	Adresse	PLZ	Web	E-Mail	Stufen	Lat	Lon
Gruppe 1	St. Georg	Antonsplatz 17	1100	https://www.pfadfindergruppe1.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.208521	16.33098511
Gruppe 10/48	St. Oswald	Klehslplatz 7	1120	https://www.1048er.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.16257419	16.3214288
Gruppe 11	St. Severin	Schulgasse 43/1	1180	http://pfadfinder-wien11.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.225079	16.3413085
Gruppe 111	Notre Dame du Rivage			https://www.ccfv.at/scoutisme/		Biber, WiWö, GuSp,CaEx, RaRo 		
Gruppe 12	Erzherzog Johann	Holeyplatz 1	1100	http://www.12er.net/		Biber, WiWö, GuSp,CaEx, RaRo 	48.1558663	16.3769254
Gruppe 13	Erdberg	Erdbergstraße 72	1030	https://www.13er.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.19946049	16.3989498
Gruppe 14	Mount Kenya	Oleandergasse 1	1220	https://www.mountkenya.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2515093	16.4974989
Gruppe 15	St. Anna	Annagasse 3b	1010	https://www.15er.net/		Biber, WiWö, GuSp,CaEx, RaRo 	48.20437	16.37197
Gruppe 16B	Schotten	Freyung 6/9/13	1010	https://gruppe16b.at/		Biber, Wö, Sp,Ex, Ro 	48.2141848	16.3681384
Gruppe 16M	Unsere liebe Frau zu den Schotten	Freyung 6/Stiege 10	1010	http://www.16m.at/		Biber, Wi, Gu,Ca, Ra 	48.2134418	16.365452
Gruppe 17/47		Barnabitengasse 14	1060	https://1747.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.1990497	16.3533402
Gruppe 18	Mafeking	Burggasse 35/26	1070	https://gruppe18.org/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2041011	16.3524574
Gruppe 19	Breitensee	Breitenseerstraße 35	1140	https://www.gruppe19.at/		WiWö, GuSp,CaEx, RaRo 	48.20184	16.3071
Gruppe 2	Hemma von Gurk	Hoyosgasse/Kreuzherrengasse 1040 Wien	1040	https://wien2.scout.at/		Biber, Wi, Gu,Ca, Ra 	48.1981753	16.3726471
Gruppe 20	Breitenfeld	Blindengasse 42	1080	http://www.pfadis-gruppe20.at/index.php		Biber, WiWö, GuSp,CaEx, RaRo 	48.2134747	16.3414223
Gruppe 21	Liechtenstein	Müllnergasse 6a	1090	http://www.gruppe21.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2202458	16.3635176
Gruppe 22	Löwe von Aspern	Bergengasse 6a/4a/38	1222	https://www.pfadfinder-wien22.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.214963399	16.473867
Gruppe 23	St. Calasanz	Piaristengasse 45	1080	http://www.gruppe23.net/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2108655	16.3501436
Gruppe 26	St. Gertrud	Gentzgasse 12	1180	https://pfadfinder26.org/hp/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2265906	16.3465574
Gruppe 27	Donaustadt	Wohlmutstraße 19-21	1020	https://www.gruppe27.at/		Biber, WiWö, GuSp,CaEx, RaRo 	48.2199475864595	16.403345496600405
